#OTU ID	SRR11796889	SRR11796890	SRR11796891	SRR11796892	SRR11796893	SRR11796894	SRR11796895	SRR11796896	SRR11796897	SRR11796898	SRR11796899	SRR11796900	SRR11796901	SRR11796902	SRR11796903	SRR11796904	SRR11796905	SRR11796906	SRR11796907	SRR11796908	SRR11796909	SRR11796910	SRR11796911	SRR11796912	SRR11796913	SRR11796914	SRR11796915	SRR11796916	SRR11796917	SRR11796918	SRR11796919	SRR11796920	SRR11796921	SRR11796922	SRR11796923	SRR11796924	SRR11796925	SRR11796926	SRR11796927	SRR11796928	SRR11796929	SRR11796930	SRR11796931	SRR11796932	SRR11796933	SRR11796934	SRR11796935	SRR11796936	SRR11796937	SRR11796938
Otu243	21	11	0	0	0	15	5	2	0	0	0	0	56	0	24	0	0	0	0	0	1	1	1	0	14	0	0	1	0	0	0	0	0	0	0	37	8	0	0	12	0	18	0	0	0	0	5	2	0	0
Otu432	11	3	0	0	0	0	0	6	3	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	4	0	0	0	2	0
Otu155	13	8	5	0	0	0	0	15	6	0	0	10	4	3	5	2	0	0	0	0	15	4	0	0	6	6	0	2	4	0	0	33	4	0	0	15	4	0	0	4	0	13	0	0	1	3	50	8	0	0
Otu375	7	4	0	0	0	0	0	10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Otu257	2	1	0	0	0	0	0	87	29	0	0	4	6	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	10	0	0	0	0	0	0	0	0
Otu67	24	9	58	0	6	179	39	10	2	48	181	10	2	9	0	0	121	6	5	1	11	1	89	31	35	0	6	3	2	0	0	73	7	0	3	2	0	0	1	1	0	3	65	0	833	218	13	7	13	0
Otu408	8	4	0	0	0	0	0	0	0	0	0	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	34	6	0	0	0	0
Otu294	2	6	277	1	5	5	3	3	0	9	11	0	0	0	3	26	4	15	10	4	3	1	32	27	7	7	24	1	1	86	367	0	5	0	2	0	2	22	20	0	2	0	33	4	7	8	14	1	6	9
Otu435	33	4	35	0	9	0	0	9	0	2	1	0	24	0	18	0	0	15	0	2	0	0	0	0	3	30	0	0	11	0	2	0	0	2	4	0	1	0	15	0	4	0	6	0	12	1	17	5	0	0
Otu65	62	46	0	0	1	41	41	65	31	0	0	9	67	2	66	7	0	0	0	0	59	44	0	0	0	359	37	0	183	0	0	0	1	33	34	0	0	59	2	17	0	59	0	0	47	26	17	24	3	0
